time,deviceName,temperature,humidity,pressure_hPa,battery_mV,rssi,snr
2025-09-01T14:20:12.926044664+00:00,NodoTest,22.94,67.05,1007.0,12.0,-84,11.8
2025-09-01T14:21:13.092379035+00:00,NodoTest,22.92,67.24,1007.0,18.0,-79,13.3
2025-09-01T14:22:13.199728277+00:00,NodoTest,22.98,66.83,1007.0,16.0,-82,13.5
2025-09-01T14:23:13.305422834+00:00,NodoTest,22.92,66.86,1007.0,16.0,-80,13.8
2025-09-01T14:24:13.445368631+00:00,NodoTest,22.96,66.62,1007.0,16.0,-80,10.0
2025-09-01T14:25:13.586699855+00:00,NodoTest,22.94,66.69,1007.0,16.0,-83,13.0
2025-09-01T14:26:13.736230578+00:00,NodoTest,22.97,66.87,1007.0,18.0,-84,13.0
2025-09-01T14:27:13.827089505+00:00,NodoTest,22.95,67.39,1007.0,16.0,-81,13.3
2025-09-01T14:28:13.935030803+00:00,NodoTest,23.0,67.14,1007.0,18.0,-79,13.0
2025-09-01T14:29:14.068157989+00:00,NodoTest,22.98,66.94,1007.0,18.0,-80,11.5
2025-09-01T14:30:14.195312046+00:00,NodoTest,23.01,66.83,1007.0,16.0,-93,11.0
2025-09-01T14:31:14.362950714+00:00,NodoTest,22.99,67.09,1007.0,18.0,-84,13.0
2025-09-01T14:32:14.404359548+00:00,NodoTest,23.02,67.1,1007.0,16.0,-79,13.3
2025-09-01T14:33:14.440450864+00:00,NodoTest,23.04,67.0,1007.0,12.0,-85,9.8
2025-09-01T14:34:14.463905032+00:00,NodoTest,23.08,66.85,1007.0,16.0,-88,12.8
2025-09-01T14:35:14.485162311+00:00,NodoTest,23.02,66.85,1007.0,14.0,-83,13.5
2025-09-01T14:36:14.648437090+00:00,NodoTest,23.06,66.77,1007.0,12.0,-78,13.8
2025-09-01T14:37:14.803087240+00:00,NodoTest,23.03,66.68,1007.0,16.0,-78,10.0
2025-09-01T14:38:14.964825667+00:00,NodoTest,23.07,66.7,1007.0,14.0,-83,13.3
2025-09-01T14:39:14.993084483+00:00,NodoTest,23.1,66.53,1007.0,12.0,-79,13.0
2025-09-01T14:40:15.122971021+00:00,NodoTest,23.05,66.84,1007.0,14.0,-79,13.0
2025-09-01T14:41:15.299596226+00:00,NodoTest,23.08,66.57,1007.0,16.0,-81,13.3
2025-09-01T14:42:15.456565542+00:00,NodoTest,23.11,66.37,1007.0,14.0,-79,13.5
2025-09-01T14:43:15.557570710+00:00,NodoTest,23.1,66.63,1007.0,14.0,-79,10.0
2025-09-01T14:44:15.678152655+00:00,NodoTest,23.07,66.98,1008.0,16.0,-79,12.8
2025-09-01T14:45:15.791973249+00:00,NodoTest,23.05,67.14,1008.0,14.0,-83,13.3
2025-09-01T14:46:15.890235510+00:00,NodoTest,23.08,67.23,1008.0,10.0,-80,13.0
2025-09-01T14:47:15.937268141+00:00,NodoTest,23.09,67.17,1008.0,16.0,-78,13.8
2025-09-01T14:48:15.983711809+00:00,NodoTest,23.15,66.9,1008.0,14.0,-89,12.3
2025-09-01T14:49:16.102106588+00:00,NodoTest,23.13,66.9,1008.0,12.0,-84,11.5
2025-09-01T14:50:16.234915144+00:00,NodoTest,23.14,66.89,1008.0,16.0,-80,13.8
2025-09-01T14:51:16.390224516+00:00,NodoTest,23.17,66.93,1008.0,14.0,-78,14.3
2025-09-01T14:52:16.545918461+00:00,NodoTest,23.11,67.38,1008.0,14.0,-93,11.0
2025-09-01T14:53:16.692753444+00:00,NodoTest,23.12,67.26,1008.0,16.0,-78,13.5
2025-09-01T14:54:16.764250223+00:00,NodoTest,23.19,66.84,1008.0,14.0,-82,13.3
2025-09-01T14:55:16.894585058+00:00,NodoTest,23.13,66.67,1008.0,16.0,-79,13.0
2025-09-01T14:56:17.040291670+00:00,NodoTest,23.18,66.57,1008.0,12.0,-78,10.3
2025-09-01T14:57:17.186790893+00:00,NodoTest,23.12,66.76,1008.0,16.0,-83,13.3
2025-09-01T14:58:17.325978320+00:00,NodoTest,23.17,66.55,1008.0,12.0,-70,13.8
2025-09-01T14:59:17.507840507+00:00,NodoTest,23.14,66.43,1008.0,16.0,-77,10.8
2025-09-01T15:00:17.635865193+00:00,NodoTest,23.14,66.25,1008.0,16.0,-79,13.5
2025-09-01T15:01:17.785082102+00:00,NodoTest,23.15,66.16,1008.0,14.0,-78,14.0
2025-09-01T15:02:17.870545399+00:00,NodoTest,23.12,66.12,1008.0,14.0,-78,13.8
2025-09-01T15:03:18.033630456+00:00,NodoTest,23.15,65.88,1008.0,14.0,-86,10.8
