time,deviceName,Lmax_dB,Lmax_class,LAeq1min_dB,LAeq_Background Noise,LAeq_People,LAeq_Vehicle,pct_Background Noise,pct_People,pct_Vehicle,P10_dB,P50_dB,P90_dB,rssi,snr
2026-01-31 00:55:49,Main Lobby,50.2,Background Noise,44.3,44.3,40.3,0.0,99.9,0.1,0.0,40.2,40.3,50.2,-90,13.5
2026-01-31 00:56:41,Pasillo de Salones,55.8,Background Noise,50.2,50.2,0.0,0.0,100.0,0.0,0.0,40.4,50.7,52.6,-88,14.0
2026-01-31 00:56:45,Salón - Uma,65.0,Background Noise,56.5,56.5,56.0,0.0,98.0,2.0,0.0,53.7,56.1,58.4,-105,8.5
2026-01-31 00:59:04,Pasillo Administrativo,58.6,Background Noise,56.1,56.1,56.1,0.0,99.9,0.1,0.0,56.1,56.1,56.1,-112,3.5
2026-01-31 00:59:34,Salón - Extremo,53.2,Background Noise,46.4,46.4,0.0,0.0,100.0,0.0,0.0,40.1,40.6,50.7,-90,14.0
2026-01-31 01:00:36,Pasillo de Laboratorio,53.1,Background Noise,46.5,46.5,40.1,0.0,99.9,0.1,0.0,40.1,40.6,51.0,-85,14.0
2026-01-31 01:00:49,Main Lobby,50.5,Background Noise,40.7,40.7,0.0,0.0,100.0,0.0,0.0,40.0,40.4,40.5,-90,13.5
2026-01-31 01:01:42,Pasillo de Salones,55.3,Background Noise,50.4,50.4,0.0,0.0,100.0,0.0,0.0,40.4,50.8,52.6,-89,14.0
2026-01-31 01:01:42,Salón - Uma,63.4,Background Noise,56.6,56.6,55.4,0.0,97.4,2.6,0.0,54.0,56.2,58.4,-97,12.8
2026-01-31 01:04:04,Pasillo Administrativo,56.5,Background Noise,56.5,56.5,0.0,0.0,100.0,0.0,0.0,56.5,56.5,56.5,-110,4.5
2026-01-31 01:04:34,Salón - Extremo,52.5,Background Noise,46.3,46.3,0.0,0.0,100.0,0.0,0.0,40.1,40.6,50.7,-88,13.8
