time,deviceName,max_dB,class_label,average_dB,stdev,rssi,snr
2025-12-14 02:17:46,INMP441,58.7,Background Noise,54.3,1.65,-106,8.5
2025-12-14 02:18:46,INMP441,58.3,Background Noise,54.6,1.43,-110,4.5
2025-12-14 02:19:46,INMP441,57.8,Background Noise,54.4,1.92,-109,4.0
2025-12-14 02:20:46,INMP441,59.0,Background Noise,54.8,1.56,-107,7.5
2025-12-14 02:21:46,INMP441,59.3,Background Noise,54.9,1.51,-116,-3.5
2025-12-14 02:22:46,INMP441,59.4,Background Noise,54.7,1.59,-114,0.5
2025-12-14 02:23:46,INMP441,58.8,Background Noise,54.6,1.53,-106,8.5
2025-12-14 02:24:46,INMP441,58.4,Background Noise,54.8,1.63,-107,7.5
2025-12-14 02:25:46,INMP441,58.4,Background Noise,54.8,1.33,-109,6.0
2025-12-14 02:26:46,INMP441,57.5,Background Noise,54.4,1.71,-114,-0.5
2025-12-14 02:27:46,INMP441,58.4,Background Noise,54.6,1.44,-107,5.5
2025-12-14 02:28:46,INMP441,58.0,Background Noise,54.7,1.51,-107,7.3
2025-12-14 02:30:46,INMP441,58.7,Background Noise,54.5,1.49,-115,-2.8
2025-12-14 02:31:46,INMP441,58.3,Background Noise,54.4,1.53,-106,7.8
2025-12-14 02:32:46,INMP441,58.6,Background Noise,54.7,1.52,-109,6.0
2025-12-14 02:33:46,INMP441,58.7,Background Noise,54.5,1.7,-111,3.8
2025-12-14 02:34:46,INMP441,58.0,Background Noise,54.6,1.47,-112,3.3
2025-12-14 02:35:47,INMP441,58.7,Background Noise,54.8,1.78,-104,6.3
2025-12-14 02:37:47,INMP441,57.9,Background Noise,54.6,1.47,-107,6.0
2025-12-14 02:38:47,INMP441,58.5,Background Noise,54.8,1.49,-110,1.0
2025-12-14 02:39:47,INMP441,58.4,Background Noise,54.7,1.48,-106,8.3
2025-12-14 02:40:47,INMP441,58.8,Background Noise,54.7,1.58,-108,7.0
2025-12-14 02:41:47,INMP441,58.7,Background Noise,54.5,1.74,-109,6.0
2025-12-14 02:42:47,INMP441,57.8,Background Noise,54.7,1.4,-107,6.8
2025-12-14 02:43:47,INMP441,58.6,Background Noise,54.8,1.4,-115,-2.3
2025-12-14 02:44:47,INMP441,58.0,Background Noise,54.6,1.73,-105,9.0
2025-12-14 02:45:47,INMP441,58.3,Background Noise,54.7,1.7,-114,0.3
2025-12-14 02:46:47,INMP441,57.8,Background Noise,54.6,1.35,-110,4.8
2025-12-14 02:47:47,INMP441,58.1,Background Noise,54.7,1.53,-115,-2.3
2025-12-14 02:48:47,INMP441,58.9,Background Noise,54.8,1.52,-115,-0.5
2025-12-14 02:49:47,INMP441,58.1,Background Noise,54.6,1.35,-106,9.0
2025-12-14 02:50:47,INMP441,58.4,Background Noise,54.6,1.51,-106,8.5
2025-12-14 02:51:47,INMP441,58.0,Background Noise,54.7,1.48,-116,-3.0
2025-12-14 02:52:47,INMP441,58.5,Background Noise,54.7,1.49,-111,4.3
2025-12-14 02:53:47,INMP441,58.0,Background Noise,54.8,1.4,-107,6.8
2025-12-14 02:54:47,INMP441,58.8,Background Noise,54.5,1.56,-106,9.0
2025-12-14 02:55:47,INMP441,59.9,Background Noise,54.6,1.51,-115,
2025-12-14 02:56:47,INMP441,58.3,Background Noise,54.7,1.42,-107,8.0
2025-12-14 02:57:47,INMP441,59.8,Background Noise,54.8,1.43,-105,9.3
2025-12-14 02:58:47,INMP441,58.0,Background Noise,54.6,1.44,-111,4.0
2025-12-14 02:59:47,INMP441,58.5,Background Noise,54.5,1.44,-113,-0.5
2025-12-14 03:00:47,INMP441,58.5,Background Noise,54.9,1.45,-106,8.5
2025-12-14 03:01:47,INMP441,58.5,Background Noise,54.6,1.3,-109,6.8
2025-12-14 03:02:47,INMP441,59.6,Background Noise,54.5,1.69,-114,1.0
2025-12-14 03:03:47,INMP441,59.1,Background Noise,54.8,1.8,-113,1.5
2025-12-14 03:04:48,INMP441,58.0,Background Noise,54.6,1.67,-114,-5.0
2025-12-14 03:05:48,INMP441,58.2,Background Noise,54.6,1.47,-105,7.8
2025-12-14 03:06:48,INMP441,58.3,Background Noise,54.5,1.75,-113,2.8
2025-12-14 03:07:48,INMP441,58.3,Background Noise,54.6,2.06,-110,5.5
2025-12-14 03:08:48,INMP441,58.0,Background Noise,54.4,1.93,-104,4.3
2025-12-14 03:09:48,INMP441,58.8,Background Noise,54.5,1.66,-109,6.8
2025-12-14 03:10:48,INMP441,58.2,Background Noise,54.6,1.48,-116,-5.0
2025-12-14 03:11:48,INMP441,57.8,Background Noise,54.8,1.5,-112,3.0
2025-12-14 03:12:48,INMP441,58.5,Background Noise,54.6,1.52,-105,9.5
2025-12-14 03:13:48,INMP441,58.5,Background Noise,54.5,1.86,-109,6.3
2025-12-14 03:14:48,INMP441,57.8,Background Noise,54.9,1.46,-107,7.3
2025-12-14 03:15:48,INMP441,57.8,Background Noise,54.5,1.45,-114,0.8
2025-12-14 03:16:48,INMP441,59.1,Background Noise,54.6,1.42,-111,4.5
2025-12-14 03:17:48,INMP441,58.4,Background Noise,54.6,1.47,-110,5.3
2025-12-14 03:18:48,INMP441,58.7,Background Noise,54.6,1.58,-104,10.3
2025-12-14 03:19:48,INMP441,58.8,Background Noise,54.7,1.5,-109,3.8
2025-12-14 03:20:48,INMP441,58.3,Background Noise,54.6,1.46,-106,6.8
